Lon,Lat,Prev Full Moon UTC,Next Full Moon UTC,Dawn Start Local,tag,days
-43,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T03:29:23.480671+00:00,migrated,30
-42,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T03:25:25.002836+00:00,migrated,30
-41,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T03:21:26.524149+00:00,migrated,30
-40,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T03:17:28.044610+00:00,migrated,30
-39,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T03:13:29.564221+00:00,migrated,30
-38,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T03:09:31.082984+00:00,migrated,30
-37,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T03:05:32.600900+00:00,migrated,30
-36,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T03:01:34.117970+00:00,migrated,30
-35,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T02:57:35.634196+00:00,migrated,30
-34,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T02:53:37.149581+00:00,migrated,30
-33,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T02:49:38.664124+00:00,migrated,30
-32,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T02:45:40.177829+00:00,migrated,30
-31,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T02:41:41.690695+00:00,migrated,30
-30,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T02:37:43.202726+00:00,migrated,30
-29,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T02:33:44.713922+00:00,migrated,30
-28,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T02:29:46.224285+00:00,migrated,30
-27,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T02:25:47.733817+00:00,migrated,30
-26,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T02:21:49.242519+00:00,migrated,30
-25,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T02:17:50.750392+00:00,migrated,30
-24,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T02:13:52.257438+00:00,migrated,30
-23,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T02:09:53.763659+00:00,migrated,30
-22,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T02:05:55.269056+00:00,migrated,30
-21,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T02:01:56.773630+00:00,migrated,30
-20,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:57:58.277383+00:00,migrated,30
-19,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:53:59.780317+00:00,migrated,30
-18,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:50:01.282433+00:00,migrated,30
-17,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:46:02.783732+00:00,migrated,30
-16,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:42:04.284216+00:00,migrated,30
-15,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:38:05.783887+00:00,migrated,30
-14,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:34:07.282745+00:00,migrated,30
-13,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:30:08.780793+00:00,migrated,30
-12,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:26:10.278031+00:00,migrated,30
-11,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:22:11.774462+00:00,migrated,30
-10,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:18:13.270086+00:00,migrated,30
-9,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:14:14.764906+00:00,migrated,30
-8,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:10:16.258922+00:00,migrated,30
-7,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:06:17.752136+00:00,migrated,30
-6,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:02:19.244549+00:00,migrated,30
-5,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T00:58:20.736163+00:00,migrated,30
-4,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T00:54:22.226980+00:00,migrated,30
-3,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T00:50:23.717000+00:00,migrated,30
-2,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T00:46:25.206225+00:00,migrated,30
-1,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T00:42:26.694657+00:00,migrated,30
0,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T00:38:28.182297+00:00,migrated,30
1,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T00:34:29.669146+00:00,migrated,30
2,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T00:30:31.155205+00:00,migrated,30
3,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T00:26:32.640477+00:00,migrated,30
4,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T00:22:34.124962+00:00,migrated,30
5,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T00:18:35.608662+00:00,migrated,30
6,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T00:14:37.091578+00:00,migrated,30
7,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T00:10:38.573712+00:00,migrated,30
8,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:06:40.055065+01:00,migrated,30
9,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:02:41.535638+01:00,migrated,30
10,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:25:10.910217+01:00,migrated,30
11,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T01:21:11.798120+01:00,migrated,30
12,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T00:50:42.949119+01:00,migrated,30
13,85,2025-05-12T16:55:52.683433+00:00,2025-06-11T07:43:45.814168+00:00,2025-05-13T00:46:44.428172+01:00,migrated,30
